title,artist,genre,year,bpm,dur
Talk Dirty (feat. 2 Chainz,Jason Derulo,dance pop,2014,100,178
Gorilla,Bruno Mars,pop,2014,140,244
human,Christina Perri,dance pop,2014,144,251
Young Girls,Bruno Mars,pop,2014,126,229
Wiggle (feat. Snoop Dogg,Jason Derulo,dance pop,2014,82,193
Love Runs Out,OneRepublic,dance pop,2014,120,225
This Is How We Do,Katy Perry,dance pop,2014,96,204
Mmm Yeah (feat. Pitbull,Austin Mahone,dance pop,2014,126,232
A Little Party Never Killed Nobody (All We Got,Fergie,dance pop,2014,130,241
#SELFIE,The Chainsmokers,electropop,2014,128,184
Partition,Beyonce,dance pop,2014,186,319
Birthday,Katy Perry,dance pop,2014,126,215
G.U.Y.,Lady Gaga,dance pop,2014,110,233
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128,217
Let It Go - From Frozen / Single Version,Demi Lovato,dance pop,2014,140,226
Wings,Birdy,neo mellow,2014,83,252
Can't Remember to Forget You (feat. Rihanna,Shakira,colombian pop,2014,138,207
Shot Me Down (feat. Skylar Grey - Radio Edit,David Guetta,dance pop,2014,192,191
Say Something,A Great Big World,neo mellow,2014,138,229
A Sky Full of Stars,Coldplay,permanent wave,2014,125,268
Come Get It Bae,Pharrell Williams,dance pop,2014,120,202
Chandelier,Sia,australian dance,2014,174,216
XO,Beyonce,dance pop,2014,170,216
We Are One (Ole Ola [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,125,222
Not About Angels,Birdy,neo mellow,2014,116,190
Drunk in Love,Beyonce,dance pop,2014,140,323
Anaconda,Nicki Minaj,dance pop,2014,130,260
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verraeter,Charli XCX,candy pop,2014,92,169
La La La (Brasil 2014 (feat. Carlinhos Brown,Shakira,colombian pop,2014,128,198
Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76,160
Words as Weapons,Birdy,neo mellow,2014,120,239
You're Mine (Eternal,Mariah Carey,dance pop,2014,149,224
Sheezus,Lily Allen,dance pop,2014,130,235
Cannonball,Lea Michele,hollywood,2014,92,215
It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110,230
I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96,207
Not a Bad Thing,Justin Timberlake,dance pop,2014,86,266
Thinking out Loud,Ed Sheeran,pop,2015,79,282
I'm Not The Only One,Sam Smith,pop,2015,82,239
The Hills,The Weeknd,canadian contemporary r&b,2015,113,242
Love Yourself,Justin Bieber,canadian pop,2015,100,234
Uptown Funk,Mark Ronson,dance pop,2015,115,270
Take Me To Church,Hozier,irish singer-songwriter,2015,129,242
Sugar,Maroon 5,pop,2015,120,235
Sorry,Justin Bieber,canadian pop,2015,100,201
FourFiveSeconds,Rihanna,barbadian pop,2015,206,188
Love Me Like You Do - From Fifty Shades Of Grey,Ellie Goulding,dance pop,2015,190,253
Earned It (Fifty Shades Of Grey - From The Fifty Shades Of Grey Soundtrack,The Weeknd,canadian contemporary r&b,2015,120,252
What Do You Mean?,Justin Bieber,canadian pop,2015,125,206
Stitches,Shawn Mendes,canadian pop,2015,150,207
Want to Want Me,Jason Derulo,dance pop,2015,114,208
My House,Flo Rida,dance pop,2015,94,192
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120,208
Night Changes,One Direction,boy band,2015,120,227
How Deep Is Your Love,Calvin Harris,dance pop,2015,122,213
Never Forget You,Zara Larsson,dance pop,2015,146,213
Love Me Harder,Ariana Grande,dance pop,2015,99,236
Animals,Maroon 5,pop,2015,190,231
Blame,Calvin Harris,dance pop,2015,128,213
Worth It,Fifth Harmony,dance pop,2015,100,225
Break Free,Ariana Grande,dance pop,2015,130,215
Don't,Ed Sheeran,pop,2015,95,220
Elastic Heart,Sia,australian dance,2015,130,257
Rather Be (feat. Jess Glynne,Clean Bandit,dance pop,2015,121,228
Hello,Adele,british soul,2015,158,295
Dear Future Husband,Meghan Trainor,dance pop,2015,79,184
43776,Beyonce,dance pop,2015,136,214
The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,227
Hey Mama (feat. Nicki Minaj," Bebe Rexha & Afrojack, David Guetta",dance pop,2015,86,193
Genie In a Bottle,Christina Aguilera,dance pop,2015,176,218
Company,Justin Bieber,canadian pop,2015,95,208
Sing,Ed Sheeran,pop,2015,120,235
Jealous - Remix,Nick Jonas,dance pop,2015,93,222
Really Don't Care,Demi Lovato,dance pop,2015,121,202
Downtown (feat. Melle Mel," Grandmaster Caz,  Kool Moe Dee & Eric Nally",,2015,110,293
Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,233
Heartbeat Song,Kelly Clarkson,dance pop,2015,149,199
Up,Olly Murs,dance pop,2015,115,224
Trumpets,Jason Derulo,dance pop,2015,82,217
Runnin' (Lose It All,Naughty Boy,tropical house,2015,139,213
Same Old Love,Selena Gomez,dance pop,2015,98,229
I Want You To Know,Zedd,complextro,2015,130,240
Lips Are Movin,Meghan Trainor,dance pop,2015,139,183
I'll Show You,Justin Bieber,canadian pop,2015,192,200
Here,Alessia Cara,canadian contemporary r&b,2015,120,199
I Lived,OneRepublic,dance pop,2015,120,235
Fireball (feat. John Ryan,Pitbull,dance pop,2015,123,235
Easy Love,Sigala,dance pop,2015,124,230
The Feeling,Justin Bieber,canadian pop,2015,127,245
I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,205
BO$$,Fifth Harmony,dance pop,2015,103,171
Sugar,Maroon 5,pop,2015,120,235
Focus,Ariana Grande,dance pop,2015,100,211
All About That Bass,Meghan Trainor,dance pop,2015,134,189
On My Mind,Ellie Goulding,dance pop,2015,155,213
Love Me Like You,Little Mix,dance pop,2015,106,198
Broken Arrows,Avicii,big room,2015,116,233
Booty,Jennifer Lopez,dance pop,2015,129,210
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,204
Mark My Words,Justin Bieber,canadian pop,2015,114,134
Lay It All on Me,Rudimental,dance pop,2015,123,242
American Oxygen,Rihanna,barbadian pop,2015,78,320
Bang Bang,Jessie J,australian pop,2015,150,199
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,159
Alive,Sia,australian dance,2015,100,264
Sugar (feat. Francesco Yates,Robin Schulz,dance pop,2015,123,219
Been You,Justin Bieber,canadian pop,2015,113,199
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,189
See You Again (feat. Charlie Puth,Wiz Khalifa,hip hop,2015,80,230
Heroes (we could be,Alesso,big room,2015,126,210
Feel The Light - From The Home Soundtrack,Jennifer Lopez,dance pop,2015,156,292
Perfect, None,boy band,2015,100,230
Ghosttown,Madonna,dance pop,2015,79,250
Bang My Head (feat. Sia & Fetty Wap,David Guetta,dance pop,2015,108,193
